row_index,url,column,raw_value,issue_type,message,value_used,requires_manual_review
1,https://www.portalinmobiliario.com/MLC-3448621696-linda-y-acogedora-casa-en-umbrales-de-buin-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_94...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
2,https://www.portalinmobiliario.com/MLC-3480018706-se-arrienda-casa-en-valle-la-araucaria-buin-modelo-roble-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_96...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
3,https://www.portalinmobiliario.com/MLC-3482279260-casa-aislada-en-condominio-seguro-73517-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_76...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
4,https://www.portalinmobiliario.com/MLC-1809933069-tranquila-en-condominio-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_63...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
5,https://www.portalinmobiliario.com/MLC-3484379396-arriendo-casa-en-condo-3-dorm-3-banos-piscina-138859-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_60...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
6,https://www.portalinmobiliario.com/MLC-3485510190-arriendo-amplia-casa-en-buin-3d3b2e-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_98...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
7,https://www.portalinmobiliario.com/MLC-1795745975-casa-santiago-sandoval-las-vinas-ii-villaseca-buin-_JM,IMAGES," Las Viñas Ii Villaseca Buin."""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
8,https://www.portalinmobiliario.com/MLC-3485276566-casa-en-arriendo-en-villa-jesus-calera-de-tango-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_95...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
9,https://www.portalinmobiliario.com/MLC-3485486868-casa-en-arriendo-de-3-dorm-en-calera-de-tango-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_80...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
10,https://www.portalinmobiliario.com/MLC-1810835947-se-arrienda-casa-en-cerrillos-oportunidad-unica-arriend-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_66...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
11,https://www.portalinmobiliario.com/MLC-1806437167-casa-en-arriendo-en-condominio-los-portones-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_87...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
12,https://www.portalinmobiliario.com/MLC-3360939284-oportunidad-casa-3d3b3est-1bod-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_82...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
13,https://www.portalinmobiliario.com/MLC-1807951501-espectacular-casa-moderna-no-perimetral-3d-4b-24-hrs-seguri-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_72...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
14,https://www.portalinmobiliario.com/MLC-3479895232-casa-en-arriendo-de-3-dorm-en-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_66...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
15,https://www.portalinmobiliario.com/MLC-3485523130-casa-townhouse-en-arriendo-de-4-dorm-en-chicureo-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_88...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
16,https://www.portalinmobiliario.com/MLC-3477546642-se-arrienda-casa-en-las-brisas-de-chicureo-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_76...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
17,https://www.portalinmobiliario.com/MLC-1808007609-casa-santa-elena-cercano-a-colegiospumahuetrewhelaspucala-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_97...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
18,https://www.portalinmobiliario.com/MLC-3479940656-arriendo-casa-amoblada-de-5-dorm-y-5-banos-en-piedra-roja-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_80...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
19,https://www.portalinmobiliario.com/MLC-3479875876-arriendo-casa-5-dormitorios-y-5-banos-en-piedra-roja-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_91...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
20,https://www.portalinmobiliario.com/MLC-1809791515-excelente-condominio-piedra-roja-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_92...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
21,https://www.portalinmobiliario.com/MLC-3484876758-casa-en-arriendo-de-3-dorm-en-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_77...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
22,https://www.portalinmobiliario.com/MLC-1810019789-casa-en-arriendo-de-3-dorm-en-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_65...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
23,https://www.portalinmobiliario.com/MLC-3480266226-el-algarrobal-chicureo-_JM,IMAGES," Chicureo"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.co...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
24,https://www.portalinmobiliario.com/MLC-3480057256-casa-en-arriendo-de-3-dorm-2-banos-servicio-piedra-roja-_JM,IMAGES," Piedra Roja"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
25,https://www.portalinmobiliario.com/MLC-1807939623-hermosa-casa-mediterranea-4d5b-gran-piscina-dg-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_74...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
26,https://www.portalinmobiliario.com/MLC-3485529580-casa-en-condominio-pinares-de-mahuida-santa-esther-_JM,IMAGES," Santa Esther"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstati...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
27,https://www.portalinmobiliario.com/MLC-3467067626-casa-en-arriendo-de3d3b43servicio-colina-piedra-roja-_JM,IMAGES," Colina Piedra Roja"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.m...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
28,https://www.portalinmobiliario.com/MLC-1809926339-gran-oportunidad-se-arrienda-linda-casa-nueva-sin-uso-en-col-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_93...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
29,https://www.portalinmobiliario.com/MLC-1808160071-increibles-vista-3d4bpieza-serv-no-perimet-dg-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_78...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
30,https://www.portalinmobiliario.com/MLC-1809809555-se-arrienda-espectacular-casa-en-condominio-chicureo-iii-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_90...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
31,https://www.portalinmobiliario.com/MLC-1802885251-se-arrienda-casa-centro-chicureo-_JM,IMAGES," Centro Chicureo"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlst...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
32,https://www.portalinmobiliario.com/MLC-3480011826-casa-en-arriendo-de-3-dorm-en-chicureo-con-piscinaquincho-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_74...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
33,https://www.portalinmobiliario.com/MLC-1809773787-casa-en-arriendo-en-colina-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_72...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
34,https://www.portalinmobiliario.com/MLC-3388285382-casa-en-condominio-consolidado-con-seguridad-247-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_76...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
35,https://www.portalinmobiliario.com/MLC-3432657912-estupenda-casa-provenzal-ubicada-en-condominio-las-flores-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_71...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
36,https://www.portalinmobiliario.com/MLC-3485131788-preciosa-casa-de-5-dormitorios-mas-servicios-no-perimetral-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_83...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
37,https://www.portalinmobiliario.com/MLC-1809770653-casa-centro-chicureo-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_81...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
38,https://www.portalinmobiliario.com/MLC-3423246268-linda-casa-estilo-mediterraneo-piedras-roja-condominio-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_80...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
39,https://www.portalinmobiliario.com/MLC-3482479432-casa-en-estancia-liray-modelo-cisne-disponibilidad-inmedia-_JM,IMAGES," Modelo Cisne, Disponibilidad Inmedia"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
40,https://www.portalinmobiliario.com/MLC-3479991924-casa-modelo-cisne-en-condominio-disponible-1-de-febrero-_JM,IMAGES," Disponible 1 De Febrero"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://ht...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
41,https://www.portalinmobiliario.com/MLC-3460106204-casa-autopista-los-libertadores-km-41-9340000-colina-reion-_JM,IMAGES," 9340000 Colina Reion"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2...",images_json_invalid,JSON inválido: Extra data: line 1 column 9 (char 8),(lista vacía),True
42,https://www.portalinmobiliario.com/MLC-1769283027-casa-remodelada-en-arriendo-4d-4b-800-mts-colegio-lyncon-_JM,IMAGES," 800 Mts, Colegio Lyncon."""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://h...",images_json_invalid,JSON inválido: Extra data: line 1 column 5 (char 4),(lista vacía),True
43,https://www.portalinmobiliario.com/MLC-1809847797-4-dormit-servicios-escritorio-colegio-aleman-los-rios-_JM,IMAGES," Los Ríos"""",{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.co...",images_json_invalid,JSON inválido: Expecting value: line 1 column 1 (char 0),(lista vacía),True
44,https://www.portalinmobiliario.com/MLC-3485546276-acogedora-casa-en-chicureo-gran-terreno-yexcelente-ubicacion-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_84...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
45,https://www.portalinmobiliario.com/MLC-3479889224-casa-en-condominio-cerrado-5-dormitorios-5-banos-_JM,IMAGES,"{""""""""n_img"""""""": 5, """"""""images"""""""": [""""""""https://http2.mlstatic.com/D_NQ_NP_76...",images_json_invalid,JSON inválido: Expecting ':' delimiter: line 1 column 4 (char 3),(lista vacía),True
